transaction_id,merchant_id,amount,location,status,device_type,timestamp
8d1a5c49-f45e-4ead-9dac-b147ebcc3f71,1006,34697.9,Oyo,Success,Smartphone,2026-04-02 12:53:11.107076
49c62029-7ecc-456c-a8a6-e664d62ac0f8,1000,37212.52,Oyo,Failed!,Smartphone,2026-04-02 12:53:11.107108
e792f160-9164-4d0e-a9af-8119ba2b1ef2,1003,20827.64,Abuja,Failed,Smartphone,2026-04-02 12:53:11.107126
859182ce-c2d9-4a12-9245-04ef6133455d,1004,25642.25,Lagos,Failed!,Smartphone,2026-04-02 12:53:11.107142
DUPLICATE_ID,1001,18041.28,Kaduna,Success,Smartphone,2026-04-02 12:53:11.107156
9b827147-b94a-4fe3-a5a7-013abce974b4,1005,38275.01,Enugu,Failed,POS,2026-04-02 12:53:11.107171
ad714953-6af8-401b-8a98-6bddfcb17d99,1002,22685.93,Enugu,Failed!,Smartphone,2026-04-02 12:53:11.107185
4642260e-da64-4815-88f8-6c541a81ced1,1000,30564.31,Oyo,Failed!,Smartphone,2026-04-02 12:53:11.107198
d313448e-8365-4ea4-beff-951c82ab6ec6,1009,28746.18,Enugu,Success,Smartphone,2026-04-02 12:53:11.107212
DUPLICATE_ID,1000,9229.58,Lagos,Failed,POS,2026-04-02 12:53:11.107225
dbe8227c-f8c9-44ea-9764-44e267678e20,1005,45113.74,Abuja,Failed,POS,2026-04-02 12:53:11.107238
DUPLICATE_ID,1006,27538.57,Enugu,Pending,Smartphone,2026-04-02 12:53:11.107252
DUPLICATE_ID,1000,18418.39,Oyo,Failed!,Smartphone,2026-04-02 12:53:11.107266
9e78ef82-6968-493c-a630-f3dd8829d243,1009,33660.19,Enugu,Pending,POS,2026-04-02 12:53:11.107279
44cd5fdf-776e-4ac3-ba14-3215943dafde,1003,44793.72,Oyo,Success,POS,2026-04-02 12:53:11.107293
DUPLICATE_ID,1006,11719.09,Abuja,Pending,POS,2026-04-02 12:53:11.107307
fb98286b-f51b-4b5f-8624-a28605b97d5e,1008,42345.22,Abuja,Failed,POS,2026-04-02 12:53:11.107320
cbee0547-7b04-46e9-85c2-1b6173358481,1006,34797.64,Abuja,Pending,Smartphone,2026-04-02 12:53:11.107333
df0cb70a-6963-43ae-aab9-afc4f84381fb,1006,40855.3,Oyo,Failed,POS,2026-04-02 12:53:11.107346
0a44aba2-dad2-4e71-9f5f-342e0a6d0633,1005,30352.55,Enugu,Failed,POS,2026-04-02 12:53:11.107361
8a17cd24-d413-4ab6-a847-da38c477b5a2,1003,4202.0,Kaduna,Success,POS,2026-04-02 12:53:11.107375
f1c5fa81-308a-42dc-b04c-9d10940a3f02,1001,40032.1,Enugu,Success,Smartphone,2026-04-02 12:53:11.107388
46d0160c-81a3-4b4f-a5de-e1102f3c3d97,1001,2983.99,Oyo,Failed!,Smartphone,2026-04-02 12:53:11.107402
DUPLICATE_ID,1000,32658.43,Oyo,Pending,POS,2026-04-02 12:53:11.107414
40ed19dd-f929-49be-841f-da38a206874e,1002,18921.57,Oyo,Success,Smartphone,2026-04-02 12:53:11.107427
da2d7e56-da3b-4fa4-9168-93a4906633f6,1003,4281.18,Abuja,Success,POS,2026-04-02 12:53:11.107441
17e64258-7919-4844-ae17-6fcb6171859b,1004,32017.37,Kaduna,Failed,Smartphone,2026-04-02 12:53:11.107454
2d3c347e-b939-4dc2-9057-f7f9b3bf4ad4,1004,9057.79,Enugu,Failed,Smartphone,2026-04-02 12:53:11.107466
84c8cb14-2e85-4d20-8478-894925f8cf36,1001,36231.0,Kaduna,Success,POS,2026-04-02 12:53:11.107478
9cc3762e-6985-4c4e-b4de-c0502f251c8f,1006,23648.46,Kaduna,Success,Smartphone,2026-04-02 12:53:11.107490
